age,daily_hours,skill_count,habit_strength,openness,conscientiousness,extraversion,agreeableness,emotional_stability,field,success_probability
24,4,15,116,47,60,53,32,51,Technology,88.05
38,1,12,67,61,83,78,88,71,Creative,90.0
33,3,12,64,91,96,32,80,36,Technology,99.55
42,2,9,99,92,41,89,73,37,Research,70.66
20,1,4,59,79,43,31,35,83,Business,65.71
35,10,12,171,49,75,43,77,44,Creative,100.0
31,7,8,91,86,92,53,55,89,Creative,100.0
30,1,7,18,63,40,37,92,40,Research,49.72
34,8,3,172,72,98,34,70,57,Research,100.0
18,7,23,71,63,76,73,64,94,Research,100.0
22,3,1,14,65,94,43,56,38,Research,71.31
30,3,7,61,71,43,52,44,72,Technology,77.01
21,7,19,95,67,41,71,74,91,Technology,100.0
29,4,11,137,97,94,91,30,56,Business,100.0
42,4,13,12,78,45,56,38,91,Technology,92.13
41,11,22,169,71,63,81,91,87,Creative,100.0
29,7,2,140,88,76,85,88,31,Business,82.27
18,1,19,135,41,92,73,61,99,Creative,100.0
40,4,23,193,98,56,67,53,98,Creative,100.0
33,1,9,133,98,45,32,49,88,Creative,87.24
36,10,3,156,59,71,81,62,69,Creative,100.0
28,9,18,160,70,69,71,36,45,Business,100.0
33,9,20,69,88,41,30,77,41,Technology,100.0
26,9,3,156,87,55,32,49,53,Business,99.05
41,1,24,125,50,88,65,67,54,Technology,100.0
19,6,3,198,80,75,62,97,62,Business,82.85
38,4,24,137,47,46,96,46,62,Creative,100.0
40,6,14,167,77,77,80,83,37,Research,100.0
44,2,21,39,72,67,93,98,90,Creative,100.0
31,5,6,108,99,80,66,53,75,Technology,100.0
20,1,20,169,62,72,96,47,54,Business,100.0
25,8,18,41,86,61,52,95,56,Business,100.0
19,10,17,113,72,48,72,77,68,Technology,100.0
35,9,24,22,99,97,36,86,65,Technology,100.0
37,1,8,153,53,51,44,95,61,Research,59.2
43,6,22,58,91,81,99,44,83,Research,100.0
22,1,8,62,99,83,34,97,35,Technology,80.0
20,7,8,61,55,52,59,48,46,Creative,75.77
36,10,23,99,76,65,91,52,38,Creative,100.0
18,2,22,57,64,79,30,45,90,Research,100.0
22,6,23,85,65,55,80,86,58,Business,100.0
21,1,5,32,97,49,98,63,81,Research,81.6
27,10,19,195,71,40,98,33,45,Creative,100.0
37,8,12,187,74,99,62,62,90,Research,100.0
28,5,12,76,40,72,69,72,73,Technology,96.31
25,10,10,99,73,90,36,97,87,Technology,100.0
35,11,24,173,64,60,65,39,53,Creative,100.0
21,2,17,105,63,62,91,66,41,Technology,94.92
40,7,3,114,69,56,91,42,88,Research,95.69
37,3,15,153,92,44,41,54,81,Research,99.76
38,4,21,160,55,96,68,82,71,Business,100.0
22,3,23,84,57,86,38,87,46,Technology,100.0
23,7,14,150,79,81,38,79,56,Business,100.0
23,3,8,118,40,61,46,74,33,Creative,59.39
23,3,12,191,78,66,48,68,96,Technology,100.0
43,4,8,70,80,78,30,32,91,Technology,100.0
34,9,24,170,77,92,35,87,73,Technology,100.0
28,5,4,156,59,96,47,76,78,Business,100.0
32,1,21,63,93,42,45,86,41,Business,100.0
25,10,4,99,47,97,89,79,57,Creative,100.0
22,9,4,164,93,56,62,58,42,Business,100.0
42,2,10,65,69,89,34,62,94,Business,90.76
32,1,11,94,65,64,88,56,78,Technology,89.25
22,5,6,12,92,62,82,66,46,Technology,82.62
31,9,14,10,90,84,33,91,94,Technology,100.0
20,11,18,21,40,93,34,86,46,Creative,100.0
32,7,15,94,53,41,80,67,93,Creative,100.0
35,11,19,61,96,77,59,80,34,Technology,100.0
21,10,24,154,49,56,98,63,35,Technology,100.0
28,11,19,120,96,62,84,45,37,Creative,100.0
25,4,24,34,42,71,96,56,61,Business,100.0
38,5,18,101,81,61,50,99,30,Technology,100.0
26,10,14,43,88,53,74,56,55,Technology,100.0
41,11,16,70,56,65,65,30,37,Technology,100.0
20,4,15,56,95,61,43,57,31,Technology,99.9
40,11,15,27,97,77,44,93,57,Business,100.0
24,9,17,95,65,83,54,46,42,Creative,100.0
26,2,15,120,61,73,37,69,71,Technology,96.57
22,6,20,35,73,98,85,88,99,Technology,100.0
33,4,11,199,69,70,53,84,38,Research,79.13
20,3,8,45,63,70,35,95,33,Research,72.39
41,6,19,71,96,41,37,55,80,Technology,100.0
29,5,6,163,93,43,48,49,41,Research,85.5
23,5,11,109,52,82,32,62,35,Business,99.31
41,10,5,160,49,83,31,42,69,Business,100.0
20,1,5,71,99,83,79,38,63,Creative,80.56
20,3,1,49,61,99,93,40,43,Creative,74.65
22,3,14,163,43,64,71,47,69,Creative,90.85
24,8,14,41,90,77,52,92,44,Technology,100.0
40,2,14,62,79,79,80,68,80,Business,100.0
23,3,7,188,47,81,93,44,58,Technology,91.43
21,6,1,164,94,72,97,95,39,Technology,82.96
44,10,1,127,77,52,60,76,81,Creative,100.0
32,4,12,182,41,66,65,65,55,Research,90.56
44,5,20,20,49,79,67,35,52,Research,100.0
43,8,18,120,79,99,72,97,34,Creative,100.0
22,8,10,101,70,97,38,80,58,Business,100.0
38,10,14,173,93,62,86,30,92,Business,100.0
40,3,8,152,60,86,82,38,81,Technology,100.0
28,6,2,144,57,66,63,46,72,Research,65.83
